"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 10- 08","141.97","146.15","146.33","141.77","121.26M","0.14%"
"2020- 10- 07","141.77","139.96","143.30","137.95","129.38M","2.74%"
"2020- 10- 06","137.99","141.26","142.93","135.35","147.44M","-2.75%"
"2020- 10- 05","141.89","141.12","144.55","139.78","134.17M","2.55%"
"2020- 10- 02","138.36","140.46","146.38","138.33","214.29M","-7.38%"
"2020- 10- 01","149.39","146.92","149.63","144.81","152.22M","4.47%"
"2020- 09- 30","143.00","140.44","144.64","140.16","144.44M","2.37%"
"2020- 09- 29","139.69","138.67","142.83","137.20","151.02M","-0.51%"
"2020- 09- 28","140.40","141.54","142.69","138.52","149.16M","3.40%"
"2020- 09- 25","135.78","131.16","136.24","130.43","201.63M","5.04%"
"2020- 09- 24","129.26","121.27","133.17","117.10","289.68M","1.95%"
"2020- 09- 23","126.79","135.05","137.38","125.29","285.22M","-10.34%"
"2020- 09- 22","141.41","143.20","145.92","139.20","238.74M","-5.60%"
"2020- 09- 21","149.80","151.04","151.89","135.69","328.43M","1.64%"
"2020- 09- 18","147.38","149.31","150.33","142.93","259.22M","4.42%"
"2020- 09- 17","141.14","138.53","145.93","136.00","230.34M","-4.15%"
"2020- 09- 16","147.25","146.62","152.60","145.10","217.64M","-1.78%"
"2020- 09- 15","149.92","145.52","153.98","143.57","291.89M","7.19%"
"2020- 09- 14","139.87","126.98","140.00","124.43","249.06M","12.58%"
"2020- 09- 11","124.24","127.31","127.50","120.17","182.15M","0.37%"
"2020- 09- 10","123.78","128.74","133.00","120.19","254.79M","1.38%"
"2020- 09- 09","122.09","118.87","123.00","113.84","238.40M","10.92%"
"2020- 09- 08","110.07","118.67","122.91","109.96","346.40M","-21.06%"
"2020- 09- 04","139.44","134.27","142.67","124.01","330.97M","2.78%"
"2020- 09- 03","135.67","135.74","143.93","134.00","262.79M","-9.02%"
"2020- 09- 02","149.12","159.66","159.68","135.04","288.53M","-5.83%"
"2020- 09- 01","158.35","167.38","167.50","156.84","270.36M","-4.67%"
"2020- 08- 31","166.11","148.20","166.71","146.70","355.12M","12.57%"
"2020- 08- 28","147.56","153.01","154.57","145.77","301.22M","-1.13%"
"2020- 08- 27","149.25","145.36","153.04","142.83","355.40M","3.98%"
"2020- 08- 26","143.54","137.33","144.40","136.91","213.59M","6.41%"
"2020- 08- 25","134.89","131.66","135.20","131.20","159.88M","0.45%"
"2020- 08- 24","134.28","141.75","141.93","128.50","300.95M","-1.75%"
"2020- 08- 21","136.67","136.32","139.70","135.00","322.34M","2.41%"
"2020- 08- 20","133.46","124.05","134.80","123.80","309.18M","6.56%"
"2020- 08- 19","125.24","124.33","127.40","122.75","183.08M","-0.45%"
"2020- 08- 18","125.81","126.60","128.26","123.01","247.12M","2.80%"
"2020- 08- 17","122.38","111.80","123.06","111.52","303.64M","11.20%"
"2020- 08- 14","110.05","111.00","111.25","108.44","188.66M","1.83%"
"2020- 08- 13","108.07","107.40","110.08","104.48","306.38M","4.26%"
"2020- 08- 12","103.65","98.00","105.67","95.67","328.48M","13.12%"
"2020- 08- 11","91.63","93.07","94.67","91.00","129.39M","-3.11%"
"2020- 08- 10","94.57","96.53","97.17","92.39","112.83M","-2.35%"
"2020- 08- 07","96.85","99.97","99.98","94.33","133.45M","-2.48%"
"2020- 08- 06","99.31","99.39","101.15","98.48","89.88M","0.31%"
"2020- 08- 05","99.00","99.53","99.99","97.89","74.67M","-0.13%"
"2020- 08- 04","99.13","99.67","101.83","97.47","126.22M","0.13%"
"2020- 08- 03","99.00","96.61","100.65","96.29","132.14M","3.80%"
"2020- 07- 31","95.38","101.00","101.14","94.73","183.70M","-3.82%"
"2020- 07- 30","99.17","99.20","100.88","98.07","114.32M","-0.77%"
"2020- 07- 29","99.94","100.07","102.32","99.13","141.40M","1.53%"
"2020- 07- 28","98.43","100.27","104.31","98.29","237.13M","-4.10%"
"2020- 07- 27","102.64","95.67","103.20","94.20","240.73M","8.65%"
"2020- 07- 24","94.47","94.40","97.67","91.10","290.95M","-6.34%"
"2020- 07- 23","100.87","111.93","112.60","98.72","364.93M","-4.98%"
"2020- 07- 22","106.16","106.60","108.43","104.13","212.42M","1.53%"
"2020- 07- 21","104.56","109.33","111.67","103.87","242.36M","-4.54%"
"2020- 07- 20","109.53","101.27","110.00","99.20","256.82M","9.46%"
"2020- 07- 17","100.06","100.90","102.50","99.33","139.95M","0.02%"
"2020- 07- 16","100.04","98.48","102.11","97.73","214.51M","-2.94%"
"2020- 07- 15","103.07","102.87","103.33","97.13","245.52M","1.93%"
"2020- 07- 14","101.12","103.73","106.00","95.40","351.27M","1.32%"
"2020- 07- 13","99.80","110.60","119.67","98.07","584.78M","-3.09%"
"2020- 07- 10","102.98","93.07","103.26","91.73","350.06M","10.79%"
"2020- 07- 09","92.95","93.13","93.90","90.09","175.76M","2.08%"
"2020- 07- 08","91.06","93.67","94.48","87.42","244.67M","-1.73%"
"2020- 07- 07","92.66","93.67","95.30","89.11","322.35M","1.33%"
"2020- 07- 06","91.44","85.11","91.85","84.40","308.55M","13.48%"
"2020- 07- 02","80.58","81.43","81.87","79.04","258.75M","7.96%"
"2020- 07- 01","74.64","72.20","75.69","72.03","199.90M","3.68%"
"2020- 06- 30","71.99","67.10","72.51","66.92","253.78M","6.98%"
"2020- 06- 29","67.29","64.60","67.33","63.23","135.40M","5.17%"
"2020- 06- 26","63.98","66.32","66.33","63.66","132.82M","-2.66%"
"2020- 06- 25","65.73","63.62","65.73","62.48","138.82M","2.61%"
"2020- 06- 24","64.06","66.27","66.73","63.54","164.39M","-4.09%"
"2020- 06- 23","66.79","66.59","67.47","66.27","95.48M","0.75%"
"2020- 06- 22","66.29","66.66","67.26","66.00","95.44M","-0.66%"
"2020- 06- 19","66.73","67.52","67.73","66.09","130.20M","-0.30%"
"2020- 06- 18","66.93","66.87","67.95","66.30","146.28M","1.23%"
"2020- 06- 17","66.12","65.85","67.00","65.50","148.36M","0.98%"
"2020- 06- 16","65.48","67.46","67.53","64.16","210.77M","-0.88%"
"2020- 06- 15","66.06","61.19","66.59","60.57","235.46M","5.95%"
"2020- 06- 12","62.35","65.33","65.87","60.84","251.45M","-3.87%"
"2020- 06- 11","64.86","66.01","67.93","64.80","238.75M","-5.09%"
"2020- 06- 10","68.34","66.13","68.50","65.50","278.45M","8.98%"
"2020- 06- 09","62.71","62.67","63.63","61.60","170.82M","-0.98%"
"2020- 06- 08","63.33","61.27","63.33","60.61","212.62M","7.27%"
"2020- 06- 05","59.04","58.52","59.10","57.75","117.18M","2.45%"
"2020- 06- 04","57.63","59.33","59.72","57.23","133.32M","-2.09%"
"2020- 06- 03","58.86","59.21","59.86","58.67","119.24M","0.15%"
"2020- 06- 02","58.77","59.65","60.58","58.07","203.48M","-1.84%"
"2020- 06- 01","59.87","57.20","59.93","56.94","226.28M","7.54%"
"2020- 05- 29","55.67","53.92","55.67","53.61","177.19M","3.63%"
"2020- 05- 28","53.72","54.23","54.98","53.45","109.14M","-1.76%"
"2020- 05- 27","54.68","54.72","55.18","52.33","173.24M","0.16%"
"2020- 05- 26","54.59","55.63","55.64","54.38","121.35M","0.24%"
"2020- 05- 22","54.46","54.81","55.45","54.13","149.81M","-1.29%"
